State/UT,Population (2025 est),Area (km²),Population Density (per km²)
Uttar Pradesh,241265000,240928,1001
Bihar,131041000,94163,1392
Maharashtra,128659000,307713,418
West Bengal,100202000,88752,1130
Andhra Pradesh,53586000,162975,329
Telangana,38499000,112077,343
Tamil Nadu,77394000,130058,595
Karnataka,68679000,191791,358
Gujarat,73513000,196024,375
Rajasthan,83060000,342239,243
Odisha,46953000,155707,302
Kerala,36111000,38863,929
Jharkhand,40626000,79716,510
Assam,36493000,78438,465
Punjab,31188000,50362,619
Chhattisgarh,30982000,135192,229
Haryana,31057000,44212,703
Delhi,22277000,1484,15011
Jammu & Kashmir,13831000,55538,249
Uttarakhand,11913000,53483,223
Himachal Pradesh,7555000,55673,136
Goa,1593000,3702,430
Tripura,4232000,10491,404
Meghalaya,3417000,22429,152
Manipur,3289000,22327,147
Nagaland,2279000,16579,138
Arunachal Pradesh,1594000,83743,19
Mizoram,1264000,21081,60
Sikkim,703000,7096,99
Andaman & Nicobar Islands,405000,8249,49
Dadra & Nagar Haveli and Daman & Diu,1479000,603,2453
Chandigarh,1259000,114,11044
Lakshadweep,69000,32,2156
Puducherry,1732000,479,3613